,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
min_NeighDiff_shell1_CovalentRadius,0.043136389147819296,0.09165136734584017,0.09518095344694177,0.0368503752341016,0.0756822686392717,0.022712185498263014,-0.0892141885216031,-0.06522482086931174,-0.03046406670018289,0.021585367179800988,-0.000289699172560349,0.017300341496766795,0.04250566964476015,0.004523079006547416,-0.028566732278723368
max_NeighDiff_shell1_CovalentRadius,0.09107038118621143,0.089753184099988,0.018299238230417455,0.023428147955427234,-0.057128053226100456,-0.015863044663870996,-0.06517122416959402,-0.027066638088046654,0.04062766519956246,-0.03508993313930366,-0.03910477958584396,0.020761187861182438,0.05572779457864609,0.022522681127239777,-0.010451504911482994
range_NeighDiff_shell1_CovalentRadius,0.08344803238411377,0.050853645620108676,-0.038492709708711076,0.005017302749599395,-0.1179726917021542,-0.03384211152349639,-0.022448604406125457,0.008672076433463589,0.06897804599738998,-0.05655710160289752,-0.047477920523423166,0.014254245338643173,0.04077349744758214,0.024562716031793812,0.005508140800892824
mean_NeighDiff_shell1_Electronegativity,0.09574151066866618,0.046259201536952246,0.08749749181982615,0.020200689524105715,0.0784448023177587,-0.026823259265844474,-0.03192427166435463,-0.030933014222304833,-0.04280944156111096,0.01821849747124981,-0.0032843911841238197,-0.04202643411678246,-0.0129159567321846,-0.010706816820837774,-0.041757558061610515
var_NeighDiff_shell1_Electronegativity,0.0940768125542884,0.03120003738164316,-0.03183001917136632,0.018057197671946683,-0.046430943570437665,-0.0691568482842509,0.015193177452346314,0.02044244387594584,-0.005638688615448218,-0.02279787218074139,-0.07003282831960918,0.05056821119612721,0.029301518965796133,-0.11734424473617737,-0.11418346139127017
min_NeighDiff_shell1_Electronegativity,0.07061749789348801,0.05050537347857733,0.1070122482565736,0.02445907666066845,0.10716587170991633,-0.014509624846231204,-0.04806225169811946,-0.047090446266882476,-0.053387064667473054,0.03704721987588087,0.007326628479805193,-0.038541587210571694,-0.0058055377535935655,0.0025797268359087602,-0.0061371285147027894
max_NeighDiff_shell1_Electronegativity,0.11612645948510052,0.037838471209602806,0.02816721705990086,0.01251974248523845,0.007839659010446212,-0.05249847743866781,-0.0011531163124220076,-0.010704555483164095,-0.011161506062568414,-0.0012361003383819403,-0.028136588467431042,-0.023249840007606545,-0.004361522410704981,-0.03035664220256739,-0.08048751223333328
range_NeighDiff_shell1_Electronegativity,0.10247320479494033,0.012313323137845389,-0.04404381933287978,-0.001865152770136504,-0.07157466238187705,-0.05967552744317328,0.03528660320061537,0.021660914462991995,0.025871298243362335,-0.03006515608990244,-0.0435602460584685,-0.0018102946949983421,-0.001431628123104153,-0.042915446445737866,-0.10383848738562332
mean_NeighDiff_shell1_NsValence,0.006834571981307525,-0.013446149728627626,0.13234977317626737,-0.11959704104455207,-0.04120687203091784,0.047857770933105,0.0850010108922119,0.00454177235153733,-0.03063234138168037,0.07816390813428417,-0.007307768809589374,0.03927335904814293,0.09012185803942908,-0.02102951806862967,0.0059957860968528716
var_NeighDiff_shell1_NsValence,0.039015132856978774,-0.013001710620259881,0.10336738373870774,-0.0983890714677055,-0.05891787016289784,0.012441397822422325,0.12503449240077477,0.008461909538149444,-0.019008021302111235,0.05727712148745283,0.02221925316302907,-0.013791729131012872,0.0841227359406527,0.03272920344264395,0.021714961428231355
min_NeighDiff_shell1_NsValence,-0.03898545093889831,-0.00427565768035943,0.08186764368425205,-0.07896170853784333,-0.022147120307900094,0.04530347931417479,0.036157519683155566,0.00048169089236782477,-0.030112526797850425,0.05451414913362613,-0.019331095452777624,0.08756176755704756,0.09315156949078399,-0.05035695017494959,-0.04284631089315715
max_NeighDiff_shell1_NsValence,0.03710602292601047,-0.013812836289048377,0.11132130628616507,-0.11075144179573229,-0.07013036273495069,0.015356943388945417,0.12944401483032972,0.00393298673904479,-0.022153884216456147,0.06337034767787067,0.025081391980259472,-0.003797916130851265,0.09660475629893484,0.03890067028606006,0.007045267833844116
range_NeighDiff_shell1_NsValence,0.05613287612692027,-0.01323993881216325,0.08738615503533288,-0.08795214699214492,-0.067042852782372,-0.001803085357181084,0.1256688205491272,0.004069657515793738,-0.01175919950583177,0.046521782684508156,0.03508162032442737,-0.03979873906916756,0.06682584322673436,0.06271306168253629,0.02510052584185776
mean_NeighDiff_shell1_NpValence,0.08753195966375396,0.03326220616811474,0.07910365933125076,0.011255870631183496,0.11695630866579347,0.002471383574798801,-0.019256450814896867,0.033671560764936465,-0.043266138776056624,0.0011183692792375414,-0.01895592061526808,-0.018557290194980612,-0.02361613115146388,-0.060541258170346335,0.10248549463987786
var_NeighDiff_shell1_NpValence,0.08135985539849688,0.019704166732217036,-0.052510750609511055,0.0039294565656108355,-0.018912283180207535,-0.047103033563353866,0.04865714551496063,0.08345980830205982,-0.0018585218218130147,-0.05074751195293437,-0.07809859237683915,0.07533185437103548,0.019953228034239094,-0.16071116913455957,-0.04805094921554636
min_NeighDiff_shell1_NpValence,0.054620540779856494,0.03636505076925979,0.10250313027959186,0.02534813636830519,0.1385318522561271,0.010579687415938368,-0.04312504296843462,-0.0015167956910519765,-0.0571855074650106,0.020447418549481417,-0.003292361511770827,-0.019284161237830482,-0.007945401733268829,-0.03963540279184655,0.14058070046482604
max_NeighDiff_shell1_NpValence,0.10932244492919774,0.022249916748776095,0.0007430119563071844,-0.00018279890043140687,0.05600255484842959,-0.026617771481160304,0.013057855176761028,0.07248643963549899,-0.01781245108503356,-0.01987514056372404,-0.0386240127446097,0.012136832394671634,-0.02128902763904693,-0.09645512181354114,0.037130992241064496
