Feature,trans_Pearson,trans_Spearman,trans_Kendall,trans_DistanceCorr,origin_Pearson,origin_Spearman,origin_Kendall,origin_DistanceCorr
max_NeighDiff_shell1_NdUnfilled,0.6125329473730052,0.4674934923881658,0.32862420806935644,0.5578144162099904,0.17383666237956202,0.19519917350752417,0.14699213248813797,0.2112277681605341
range_NeighDiff_shell1_NdUnfilled,0.5017360365264305,0.3133669974852219,0.21369967767033457,0.4548205836999273,0.16646740083802064,0.17211101916595256,0.1288323516665432,0.19208658276279011
mean_NeighDiff_shell1_NfUnfilled,-0.19370193600667918,-0.09617576490841831,-0.06277159053017674,0.19501381805103757,0.10217833914460833,0.19461777163194235,0.1579135932051434,0.19079282489560528
var_NeighDiff_shell1_NfUnfilled,-0.23502640162190647,-0.15110545501171718,-0.10248838501722797,0.2204627332960494,0.0992959987316029,0.19458168158102987,0.15797853145669277,0.18804389681020262
min_NeighDiff_shell1_NfUnfilled,-0.03645602820125486,0.042789574976619435,0.03246282094031344,0.1418366784511192,0.0436464411569443,0.19345861022300115,0.15700658175169313,0.1523702047545178
max_NeighDiff_shell1_NfUnfilled,-0.2512021679044465,-0.16914397034933004,-0.11512504168056019,0.22877465441959677,0.0991371081088331,0.19448130601628674,0.15786780901930628,0.18794687837061227
range_NeighDiff_shell1_NfUnfilled,-0.2868244211899058,-0.21399937577770836,-0.14727486940091142,0.25596087381972343,0.09865852246484008,0.19444956024881208,0.15763760563605864,0.18753452683201455
mean_NeighDiff_shell1_NUnfilled,0.2613353801624057,0.2437656506406278,0.16475669667667,0.25065611897723156,0.26286710864859464,0.4236566102954801,0.2865178982143776,0.35882593294358195
var_NeighDiff_shell1_NUnfilled,0.26196465807208835,0.22138798593199838,0.1498268311659442,0.26649519812759503,0.19342596308552984,0.29345721164586674,0.2001595629879614,0.27134436003855866
min_NeighDiff_shell1_NUnfilled,0.30326970053240665,0.3045126876125208,0.20615005001667222,0.2937349585147608,0.2559766524889056,0.37955184652374657,0.25549049089931825,0.32122338296960506
max_NeighDiff_shell1_NUnfilled,0.1889963433565393,0.14178442330938035,0.09514104701567189,0.2046697295523957,0.23984977704279578,0.34867169716721935,0.24329628379012178,0.3239791501003392
range_NeighDiff_shell1_NUnfilled,0.10152429624469395,0.049138039237559904,0.030788040457930422,0.1718577815479168,0.1667099628929031,0.2477239439053248,0.16996591782350395,0.24345428053730342
mean_NeighDiff_shell1_GSvolume_pa,-0.41985038887930953,-0.28505454811717196,-0.19405135045015007,0.3500586402123654,3.106063806594325e-05,0.0021845455561475217,0.0036452902328814735,0.10491184948528477
var_NeighDiff_shell1_GSvolume_pa,-0.3479176889791411,-0.25660840851204536,-0.17390507947093475,0.2897344930368732,-0.04168461117681364,-0.02060064898073891,-0.011791797010775113,0.12782097548988428
min_NeighDiff_shell1_GSvolume_pa,-0.3498010111558112,-0.16194637977181994,-0.10726864510392353,0.31094727617900764,0.06930835384764697,0.07480253522223895,0.05012046736909407,0.08789825976933989
