,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
mean_NeighDiff_shell1_NfValence,-0.05976492584360799,0.10439365015828299,-0.04770659160949265,-0.06215790432905559,0.039132077749667586,0.033801593517543804,0.026154174612813066,-0.023447246120838528,-0.04989932032439709,-0.028948562820508138,-0.03041645345648079,-0.1138136256120834,0.0044840060053685515,-0.052783067364084495,-0.06770727245704775
var_NeighDiff_shell1_NfValence,-0.030974666292031577,0.11387164209863893,-0.07634980365069771,-0.061741028180088066,0.014445139056564757,0.011021955143578734,0.05062200107920794,-0.053539900631226316,-0.03512514078030247,-0.030972474868409327,-0.000760582064247893,-0.09658508120328672,-0.0213343171778242,-0.04574379648410262,0.048334005118556636
min_NeighDiff_shell1_NfValence,-0.06690533772080762,0.05789239513664208,-0.005816130741390902,-0.04168849244331472,0.03372277641316641,0.03818747034899626,0.007505928523313642,0.0030748887971753414,-0.04406529689904852,-0.023921809550578172,-0.04915459078702129,-0.09300475542256761,0.022401802563146146,-0.04141411656955424,-0.13641724386724857
max_NeighDiff_shell1_NfValence,-0.0333185908912758,0.12021879780787174,-0.07553732909866866,-0.0668741808494768,0.011879807280043574,0.015633277483394877,0.051146159019366685,-0.05592429483486537,-0.034447258842968356,-0.03098357686945577,-8.690666192810526e-05,-0.11975840007948015,-0.026050848194069175,-0.0328545477501077,0.03587008778180064
range_NeighDiff_shell1_NfValence,-0.012501721511433726,0.11306946793103292,-0.08236244614205906,-0.05938471547432975,0.0008032099225224689,0.0033494168101077604,0.05444613371064103,-0.06371069182933407,-0.022223027614932687,-0.02580746731588034,0.01810644579494933,-0.09955099475256242,-0.0374436622788381,-0.021422818591194527,0.09065405286337158
mean_NeighDiff_shell1_NValance,-0.04439220606843672,0.08997476718822313,0.002272188664123261,-0.11580673839376268,0.0791447851423762,0.006966927759110728,0.011331216687596872,0.025786991663666364,-0.0030099161139717414,-0.02242555518987119,-0.0017648907559906324,0.012046719401615695,-0.10031697062256931,-0.012472058795399215,-0.0616248049868926
var_NeighDiff_shell1_NValance,-0.018472080126719012,0.09060151942425339,-0.07053911206641587,-0.09910695949445408,0.011378276552984116,-0.03307760162643619,0.058317549973455035,-0.008463933946597307,0.011060502634545045,-0.01807731080907104,0.0239686109188459,0.027510386387837572,-0.10815629372637099,-0.05325817490290222,-0.004931082178289468
min_NeighDiff_shell1_NValance,-0.055656972902753545,0.06523847367621241,0.032524006940164205,-0.08673363272921016,0.08264470633709861,0.0137346221826441,-0.019423610104742993,0.029631032227048857,-0.013342378070574958,-0.024305945676471853,-0.025988161079123235,0.016126933099328045,-0.05537592784672622,-0.011487887680095291,-0.08736734647237542
max_NeighDiff_shell1_NValance,-0.018506289923836166,0.10167025880018307,-0.0579414999144497,-0.1194441193296778,0.03262076717948587,-0.021105574005742242,0.05215993497688973,-0.01145778513400371,0.015023993241960892,-0.01868233504026465,0.03583034727907291,0.0049314668219496045,-0.13364408638811745,-0.014312943117852008,-0.012975101284373661
range_NeighDiff_shell1_NValance,0.00834907589620051,0.0851320909025976,-0.08647890211936123,-0.0945193143089204,-0.006296253613829818,-0.032528521114967034,0.07248243304289395,-0.029736125415336417,0.025097233486480776,-0.008934567943531514,0.05667762382932341,-0.0029305158376120976,-0.12845027696453673,-0.010730045036246121,0.03218394979866027
mean_NeighDiff_shell1_NsUnfilled,0.018944182771415238,-0.01445423521877924,0.13280551678885086,-0.11989328046707057,-0.040947226417856725,0.04944263051803056,0.07816494306158714,-0.009364484665270636,-0.030557943088054308,0.06821326363551351,-0.012436092284904221,0.021930602561657825,0.06900759428411755,-0.020615375431848326,0.006944624865820351
var_NeighDiff_shell1_NsUnfilled,0.04758986486822566,-0.013364591541599281,0.10145272015358035,-0.0961578931527318,-0.05745219905508057,0.012509290356768083,0.12047071409307329,-0.0021762750100667244,-0.01949235100215384,0.04871027367800246,0.018242532717672105,-0.02584084844105682,0.0668650535741254,0.03608731052199897,0.019583153007390823
min_NeighDiff_shell1_NsUnfilled,-0.033828928269524355,-0.004377271198704511,0.08147113298826489,-0.0798057780474003,-0.022002994591188405,0.04977306104451702,0.026094354528193083,-0.013553748020428672,-0.031006179782575912,0.04487427772589287,-0.025770364498677943,0.07901090396401268,0.0786423951265219,-0.056874298586387734,-0.04927157447675878
max_NeighDiff_shell1_NsUnfilled,0.04778413181094375,-0.01414877485395689,0.10779074619836783,-0.10679116184091804,-0.06938571097736974,0.014619093558944262,0.12367976879537955,-0.00821474478935427,-0.02159773975510671,0.05188075895688051,0.021708864218753933,-0.0206088177860691,0.07604701393364821,0.042759083382990046,0.004938667017630889
